법정동코드, 주택가격 ,행정구,상세주소
4511110400,26100000,완산구,중앙동4가
4511110400,45300000,완산구,중앙동4가
4511110400,64900000,완산구,중앙동4가
4511110400,13100000,완산구,중앙동4가
4511110400,90100000,완산구,중앙동4가
4511110400,17700000,완산구,중앙동4가
4511110400,55000000,완산구,중앙동4가
4511110400,34500000,완산구,중앙동4가
4511110400,29200000,완산구,중앙동4가
4511110400,17900000,완산구,중앙동4가
4511110400,40000000,완산구,중앙동4가
4511110400,72700000,완산구,중앙동4가
4511110400,37900000,완산구,중앙동4가
4511110400,60200000,완산구,중앙동4가
4511110400,65700000,완산구,중앙동4가
4511110400,8640000,완산구,중앙동4가
4511110400,83700000,완산구,중앙동4가
4511110400,6490000,완산구,중앙동4가
4511110400,75000000,완산구,중앙동4가
4511110400,73500000,완산구,중앙동4가
4511110400,60200000,완산구,중앙동4가
4511110400,53100000,완산구,중앙동4가
4511110400,35800000,완산구,중앙동4가
4511110400,63300000,완산구,중앙동4가
4511110400,83200000,완산구,중앙동4가
4511110400,85700000,완산구,중앙동4가
4511110400,141000000,완산구,중앙동4가
4511110400,78800000,완산구,중앙동4가
4511110400,62500000,완산구,중앙동4가
4511110400,33200000,완산구,중앙동4가
4511110400,76900000,완산구,중앙동4가
4511110400,60800000,완산구,중앙동4가
4511110400,55200000,완산구,중앙동4가
4511110400,122000000,완산구,중앙동4가
4511110400,132000000,완산구,중앙동4가
4511110400,70500000,완산구,중앙동4가
4511110400,36300000,완산구,중앙동4가
4511110400,45400000,완산구,중앙동4가
4511110400,47500000,완산구,중앙동4가
4511110400,8750000,완산구,중앙동4가
4511110400,47200000,완산구,중앙동4가
4511110400,348000000,완산구,중앙동4가
4511110400,58700000,완산구,중앙동4가
4511110400,72000000,완산구,중앙동4가
4511110400,78900000,완산구,중앙동4가
4511110400,56200000,완산구,중앙동4가
4511110400,30000000,완산구,중앙동4가
4511110400,12000000,완산구,중앙동4가
4511110400,18500000,완산구,중앙동4가
4511110400,48600000,완산구,중앙동4가
4511110400,16300000,완산구,중앙동4가
4511110400,25700000,완산구,중앙동4가
4511110400,23600000,완산구,중앙동4가
4511110500,22600000,완산구,경원동1가
4511110500,150000000,완산구,경원동1가
4511110500,64300000,완산구,경원동1가
4511110500,49300000,완산구,경원동1가
4511110500,72800000,완산구,경원동1가
4511110500,27500000,완산구,경원동1가
4511110500,102000000,완산구,경원동1가
4511110500,132000000,완산구,경원동1가
4511110500,53600000,완산구,경원동1가
4511110500,31400000,완산구,경원동1가
4511110500,32300000,완산구,경원동1가
4511110500,57900000,완산구,경원동1가
4511110500,21700000,완산구,경원동1가
4511110500,80600000,완산구,경원동1가
4511110500,95100000,완산구,경원동1가
4511110500,22700000,완산구,경원동1가
4511110500,26500000,완산구,경원동1가
4511110500,48800000,완산구,경원동1가
4511110500,106000000,완산구,경원동1가
4511110500,43300000,완산구,경원동1가
4511110500,63300000,완산구,경원동1가
4511110500,14100000,완산구,경원동1가
4511110500,111000000,완산구,경원동1가
4511110500,246000000,완산구,경원동1가
4511110500,76400000,완산구,경원동1가
4511110500,119000000,완산구,경원동1가
4511110500,39500000,완산구,경원동1가
4511110500,169000000,완산구,경원동1가
4511110500,150000000,완산구,경원동1가
4511110500,38700000,완산구,경원동1가
4511110500,298000000,완산구,경원동1가
4511110500,17900000,완산구,경원동1가
4511110500,62700000,완산구,경원동1가
4511110500,10800000,완산구,경원동1가
4511110500,29400000,완산구,경원동1가
4511110500,183000000,완산구,경원동1가
4511110500,111000000,완산구,경원동1가
4511110500,64000000,완산구,경원동1가
4511110500,566000000,완산구,경원동1가
4511110500,362000000,완산구,경원동1가
4511110500,88400000,완산구,경원동1가
4511110500,17100000,완산구,경원동1가
4511110500,62500000,완산구,경원동1가
4511110500,67500000,완산구,경원동1가
4511110500,22100000,완산구,경원동1가
4511110500,19600000,완산구,경원동1가
4511110600,33100000,완산구,경원동2가
4511110600,57600000,완산구,경원동2가
4511110600,123000000,완산구,경원동2가
4511110600,82600000,완산구,경원동2가
4511110600,67800000,완산구,경원동2가
4511110600,66100000,완산구,경원동2가
4511110600,157000000,완산구,경원동2가
4511110600,157000000,완산구,경원동2가
4511110600,67800000,완산구,경원동2가
4511110600,48300000,완산구,경원동2가
4511110600,208000000,완산구,경원동2가
4511110600,60100000,완산구,경원동2가
4511110600,35600000,완산구,경원동2가
4511110600,53500000,완산구,경원동2가
4511110600,61900000,완산구,경원동2가
4511110600,136000000,완산구,경원동2가
4511110600,79700000,완산구,경원동2가
4511110600,66400000,완산구,경원동2가
4511110600,18700000,완산구,경원동2가
4511110600,43500000,완산구,경원동2가
4511110600,36800000,완산구,경원동2가
4511110600,44000000,완산구,경원동2가
4511110600,45200000,완산구,경원동2가
4511110600,56700000,완산구,경원동2가
4511110600,70300000,완산구,경원동2가
4511110600,589000000,완산구,경원동2가
4511110600,581000000,완산구,경원동2가
4511110600,42200000,완산구,경원동2가
4511110600,40900000,완산구,경원동2가
4511110600,127000000,완산구,경원동2가
4511110600,97400000,완산구,경원동2가
4511110600,125000000,완산구,경원동2가
4511110600,205000000,완산구,경원동2가
4511110600,617000000,완산구,경원동2가
4511110600,81900000,완산구,경원동2가
4511110600,88100000,완산구,경원동2가
4511110600,218000000,완산구,경원동2가
4511110600,142000000,완산구,경원동2가
4511110600,59300000,완산구,경원동2가
4511110600,57500000,완산구,경원동2가
4511110600,32800000,완산구,경원동2가
4511110600,101000000,완산구,경원동2가
4511110600,28300000,완산구,경원동2가
4511110600,58500000,완산구,경원동2가
4511110600,72600000,완산구,경원동2가
4511110700,66000000,완산구,경원동3가
4511110700,71000000,완산구,경원동3가
4511110700,66900000,완산구,경원동3가
4511110700,88200000,완산구,경원동3가
4511110700,45100000,완산구,경원동3가
4511110700,29100000,완산구,경원동3가
4511110700,27100000,완산구,경원동3가
4511110700,37500000,완산구,경원동3가
4511110700,74200000,완산구,경원동3가
4511110700,48900000,완산구,경원동3가
4511110700,110000000,완산구,경원동3가
4511110700,201000000,완산구,경원동3가
4511110700,36700000,완산구,경원동3가
4511110700,49900000,완산구,경원동3가
4511110700,24200000,완산구,경원동3가
4511110700,17400000,완산구,경원동3가
4511110700,30800000,완산구,경원동3가
4511110700,64400000,완산구,경원동3가
4511110700,162000000,완산구,경원동3가
4511110700,48100000,완산구,경원동3가
4511110700,6120000,완산구,경원동3가
4511110700,43800000,완산구,경원동3가
4511110700,38600000,완산구,경원동3가
4511110700,46600000,완산구,경원동3가
4511110700,67300000,완산구,경원동3가
4511110700,49800000,완산구,경원동3가
4511110700,155000000,완산구,경원동3가
4511110700,382000000,완산구,경원동3가
4511110700,67100000,완산구,경원동3가
4511110700,35600000,완산구,경원동3가
4511110700,30000000,완산구,경원동3가
4511110700,110000000,완산구,경원동3가
4511110700,57100000,완산구,경원동3가
4511110700,95700000,완산구,경원동3가
4511110700,33000000,완산구,경원동3가
4511110700,31300000,완산구,경원동3가
4511110700,54300000,완산구,경원동3가
4511110700,59000000,완산구,경원동3가
4511110700,53700000,완산구,경원동3가
4511110700,109000000,완산구,경원동3가
4511110700,32400000,완산구,경원동3가
4511110700,19600000,완산구,경원동3가
4511110700,22000000,완산구,경원동3가
4511110700,24900000,완산구,경원동3가
4511110700,22600000,완산구,경원동3가
